"id";"frequency";"route";"operator";"brand";"name";"trains";"color";"booking_also";"information_also";"source";
"odm";"d";"Odessa/Chișinău – St:Petersburg /Kyiv/Moskva";"RZD";;;"ett tågpar till Odessa, delas. Ett tågpar var över Balti till Moskva och S:t Petersburg.";"lilac";"UZ";;;
"odm_c";"w";"-Chisinau";"RZD";;;;"lilac";"UZ";;;
"odm_p";"w";"-S:t Petersburg";"RZD";;;;"lilac";;;;
"kimi";"d";"Kyiv – Minsk/S:t Petersburg";"UZ";;;"ett tågpar, delas";"turqoise";;;;
"kima";"d";"Kyiv – Mariupol/Nowoalekseewka";"UZ";;;;"maroon";;;;
"kiri";"d";"Kyiv - Rih – Saporosche";"UZ";;;;"orange";;;;
"khod";"d";"Odessa – Kharkiv";"UZ";;;;"red";;;;
"kko";"d";"Kyiv – Kharkov – Konstantinowka";"UZ";;;;"yellow";;;;
"ksk";"d";"Kyiv – Sumy – Konstantinowka/Lisitschansk";"UZ";;;;"yellow green";;;;
"khm";"d";"Kharkov – Moskva";"RZD";;;;"dark green";"UZ";;;
"solv";"d";"Solotvino – Lviv – Kyiv";"UZ";;;"ett tågpar till Lviv, ett tågpar var annan dag till Kyiv";"dark green";;;;
"solv_k";"w";"-Kyiv";"UZ";;;;"dark green";;;;
